id,wave,status,title,area,recommended_role,depends_on,allowed_paths,reviewer,owner,branch
SPH-003,3,BLOCKED,语音基准数据集与评测,speech-evaluation,Evaluation AI,SPH-002,experiments/speech/**;docs/03-architecture/05-语音评测技术方案.md;reports/speech/**,Domain Expert + Privacy,,task/sph-003-speech-evaluation
RPT-001,3,BLOCKED,学习事件与指标管道,reporting-api,Data/API AI,SUB-001;OFF-003,apps/api/src/modules/reporting/**;apps/worker/src/reporting/**;apps/api/test/reporting/**,Data + Privacy,,task/rpt-001-reporting-api
RPT-002,3,BLOCKED,学生成长与教师干预报告 Web,reporting-web,Codex Web AI,GOV-002;GOV-004,apps/web/app/features/reports/**;apps/web/app/pages/reports/**;apps/web/tests/reports/**,Product + Design + Data,,task/rpt-002-reporting-web
MIG-002,3,BLOCKED,课程与双语内容转换,migration,Migration AI,MIG-001;CUR-001,tools/migration/curriculum/**;legacy/exports/**;legacy/review/**;legacy/reports/**,Content + Domain,,task/mig-002-migration
MIG-003,3,BLOCKED,媒体资产迁移与版权台账,migration,Asset Migration AI,MIG-001;CUR-001,tools/migration/media/**;legacy/review/media/**;legacy/reports/**;design-lab/asset-register.csv,Content + Legal,,task/mig-003-migration
SEC-001,4,BLOCKED,安全威胁建模与渗透回归,security,Security AI,IDN-001;ASN-001;SUB-001;OFF-003;SPH-002,tests/security/**;docs/05-quality/**;reports/security/**,Security Human,,task/sec-001-security
OPS-001,4,BLOCKED,部署、健康、日志与指标,operations,DevOps AI,GOV-001;GOV-005,infra/**;apps/api/src/health/**;packages/observability/**;docs/03-architecture/07-可观测性与运维.md,Operations + Security,,task/ops-001-operations
OPS-002,4,BLOCKED,备份恢复与数据保留演练,operations,DB/Privacy AI,OPS-001;RPT-001,infra/backup/**;tools/retention/**;reports/operations/**,DBA + Privacy,,task/ops-002-operations
QA-001,4,BLOCKED,核心教学闭环 E2E,qa,QA AI,CUR-001;ASN-001;LRN-001;SUB-001;CUR-002;ASN-002;LRN-002;SUB-002,tests/e2e/core-loop/**;playwright.config.ts,QA + Product,,task/qa-001-qa
QA-002,4,BLOCKED,离线与同步 E2E,qa,QA Offline AI,OFF-002;OFF-003,tests/e2e/offline/**;tests/performance/sync/**,Offline + QA,,task/qa-002-qa
QA-003,4,BLOCKED,视觉、可访问性与性能验收,qa,Codex QA AI,IDN-002;CUR-002;ASN-002;LRN-002;SUB-002;RPT-002;DES-001;DES-002,tests/e2e/visual/**;reports/ui/**;design-lab/reviews/**,Accessibility + Design,,task/qa-003-qa
CMP-001,4,BLOCKED,比赛证据包与演示环境,competition,Docs/Competition AI,QA-001;QA-002;SPH-003;RPT-001,evidence/**;docs/07-competition/**;demo/**,Product + Expert,,task/cmp-001-competition
PIL-001,4,BLOCKED,试点运行与四周复盘,pilot,Pilot Ops,QA-001;SEC-001;OPS-002,pilot/**;reports/pilot/**;docs/08-pilot/**,Human Product Lead,,task/pil-001-pilot
